Id,ConfAbbrev,Description
101,a_sun,Atlantic Sun Conference
102,a_ten,Atlantic 10 Conference
103,aac,American Athletic Conference
104,acc,Atlantic Coast Conference
105,aec,America East Conference
106,asc,American South Conference
107,awc,American West Conference
108,big_east,Big East Conference
109,big_eight,Big Eight Conference
110,big_sky,Big Sky Conference
111,big_south,Big South Conference
112,big_ten,Big Ten Conference
113,big_twelve,Big 12 Conference
114,big_west,Big West Conference
115,caa,Colonial Athletic Association
116,cusa,Conference USA
117,ecacm,Eastern Collegiate Athletic Conference Metro
118,ecacn,Eastern Collegiate Athletic Conference North
119,ecacs,Eastern Collegiate Athletic Conference South
120,ecc,East Coast Conference
121,gmwc,Great Midwest Conference
122,gsc,Gulf Star Conference
123,gwc,Great West Conference
124,horizon,Horizon League
125,ind,Independent
126,ivy,Ivy League
127,maac,Metro Atlantic Athletic Conference
128,mac,Mid-American Conference
129,meac,Mid-Eastern Athletic Conference
130,metro,Metropolitan Collegiate Athletic Conference
131,mid_cont,Mid-Continent Conference
132,mvc,Missouri Valley Conference
133,mw_city,Midwestern City Conference
134,mw_coll,Midwestern Collegiate Conference
135,mwc,Mountain West Conference
136,nac,North Atlantic Conference
137,nec,Northeast Conference
138,ovc,Ohio Valley Conference
139,pac_ten,Pacific-10 Conference
140,pac_twelve,Pacific-12 Conference
141,patriot,Patriot League
142,pcaa,Pacific Coast Athletic Association
143,sec,Southeastern Conference
144,southern,Southern Conference
145,southland,Southland Conference
146,summit,Summit League
147,sun_belt,Sun Belt Conference
148,swac,Southwest Athletic Conference
149,swc,Southwest Conference
150,wac,Western Athletic Conference
151,wcc,West Coast Conference
